motionType,expectedPointsAdded,yardsGained,bigPlay,successfulPlay
FLY,0.0723090707324445,5,NO,YES
FLY,1.36670497898012,5,NO,YES
RETURN,1.07243356632534,9,NO,YES
FLY,0.2247927156277,7,NO,YES
RETURN,-1.64376983093098,-8,NO,NO
FLY,2.12679463706445,9,NO,YES
FLY,-1.30004752415698,0,NO,NO
FLY,2.19887797301635,24,YES,YES
FLY,1.73831259110011,20,YES,YES
FLY,-0.300800508237444,2,NO,NO
FLY,0.243384777102619,7,NO,YES
IN,1.32819934887812,19,YES,YES
QUICK,-0.154459256562404,5,NO,NO
OUT,-1.31871450005565,0,NO,NO
ACROSS,-0.508254878688604,1,NO,NO
QUICK,-0.363293595146388,5,NO,NO
FLY,-1.39070795755833,0,NO,NO
ACROSS,-0.00549525814130902,3,NO,NO
FLY,0.601628874079324,5,NO,YES
FLY,-0.365526280831546,3,NO,NO
OUT,1.38125911750831,13,NO,YES
QUICK,1.21696571190841,10,NO,YES
QUICK,-0.845037125749514,-1,NO,NO
QUICK,-1.76687791239237,-10,NO,NO
UP,-0.0906704997178167,5,NO,NO
UP,-4.52103940927191,0,NO,NO
IN,-4.52103940927191,0,NO,NO
QUICK,0.599364480585791,12,NO,YES
UP,0.599364480585791,12,NO,YES
FLY,-0.704805729736108,1,NO,NO
FLY,0.353055095067248,6,NO,YES
FLY,1.046256727539,12,NO,YES
FLY,-0.374573510838673,0,NO,NO
FLY,-0.60619470581878,0,NO,NO
FLY,-1.34567143453751,0,NO,NO
FLY,-0.429004520876333,0,NO,NO
QUICK,0.417762709315866,10,NO,YES
IN,-0.145483785308897,2,NO,NO
QUICK,-0.145483785308897,2,NO,NO
FLY,-0.958372051361948,0,NO,NO
OUT,-1.19010336464271,0,NO,NO
IN,0.200336647685617,6,NO,YES
OUT,0.655406306497753,7,NO,YES
IN,0.21842614421621,5,NO,YES
FLY,0.21842614421621,5,NO,YES
FLY,-0.393217387609184,4,NO,NO
FLY,-2.38133961847052,-7,NO,NO
QUICK,0.745363607537001,17,YES,YES
FLY,1.31608535640407,10,NO,YES
IN,-0.118672348558903,3,NO,NO
FLY,-0.54374753497541,0,NO,NO
FLY,-2.13564063655213,-6,NO,NO
IN,2.89746452798136,14,NO,YES
OUT,1.33252602419816,13,NO,YES
FLY,-1.6914120381698,1,NO,NO
FLY,-2.46382776845712,0,NO,NO
RETURN,-0.184645732166246,6,NO,NO
QUICK,-1.82168651302345,0,NO,NO
OUT,0.802544143749401,14,NO,YES
FLY,-0.0196952833794057,2,NO,NO
FLY,0.230514411232434,2,NO,YES
QUICK,0.0928966617211699,5,NO,YES
IN,-0.485822484944947,2,NO,NO
FLY,-1.86144350934774,0,NO,NO
FLY,1.29066591686569,22,YES,YES
FLY,-0.477190440753475,0,NO,NO
FLY,1.89126390282763,5,NO,YES
FLY,0.00995558127760887,5,NO,YES
IN,-0.0916242307284847,4,NO,NO
FLY,-0.463567266240716,2,NO,NO
QUICK,-1.74133559688926,-7,NO,NO
FLY,-0.358636711956933,0,NO,NO
FLY,0.0868508999701589,7,NO,YES
FLY,2.18167823768454,17,YES,YES
FLY,-1.78447148104897,-13,NO,NO
QUICK,0.0,-1,NO,NO
ACROSS,0.119379354640841,6,NO,YES
UP,0.119379354640841,6,NO,YES
ACROSS,-1.09012714121491,2,NO,NO
OUT,-0.535869639366865,0,NO,NO
IN,1.38743279350456,13,NO,YES
FLY,0.0547489204909652,5,NO,YES
IN,1.50168912846129,20,YES,YES
OUT,1.3363676390145,7,NO,YES
FLY,-0.57593979826197,0,NO,NO
FLY,-0.370533395558596,6,NO,NO
RETURN,1.6967973895371,5,NO,YES
IN,0.0409017039928585,14,NO,YES
QUICK,-0.0380578190088272,5,NO,NO
UP,-1.05952577013522,0,NO,NO
FLY,-1.49281605961733,-5,NO,NO
QUICK,-1.36193385208026,-5,NO,NO
IN,0.0657620264682919,16,YES,YES
OUT,-0.273028272204101,3,NO,NO
QUICK,-0.273028272204101,3,NO,NO
QUICK,-0.585914698429406,0,NO,NO
OUT,0.972853685496375,13,NO,YES
FLY,-0.233472757739946,4,NO,NO
QUICK,-0.233472757739946,4,NO,NO
OUT,1.32186559098773,15,YES,YES
OUT,-0.466927741072141,2,NO,NO
ACROSS,1.10624001454562,22,YES,YES
FLY,-0.102933142916299,4,NO,NO
QUICK,-0.559303251327947,2,NO,NO
FLY,-1.44665154494578,0,NO,NO
FLY,0.285320632392541,7,NO,YES
FLY,0.519285507500172,7,NO,YES
RETURN,0.519285507500172,7,NO,YES
FLY,-0.315692745614797,4,NO,NO
FLY,-1.42437540623359,0,NO,NO
IN,-1.42437540623359,0,NO,NO
ACROSS,-0.0901822228915989,2,NO,NO
UP,-0.0901822228915989,2,NO,NO
RETURN,-0.601598133565858,0,NO,NO
OUT,1.61095598642714,9,NO,YES
OUT,-1.67646736802999,0,NO,NO
OUT,-0.0866562543669716,13,NO,NO
IN,0.111029064108152,15,YES,YES
FLY,-0.0194741147570312,2,NO,NO
FLY,4.50286917435005,68,YES,YES
OUT,0.787672324164305,9,NO,YES
FLY,0.545816932048183,9,NO,YES
FLY,0.896118112141266,4,NO,YES
ACROSS,-0.0451361816376448,5,NO,NO
ACROSS,-0.529178471770138,3,NO,NO
FLY,1.3888874379918,20,YES,YES
IN,-0.575119470013306,0,NO,NO
OUT,0.420772236888297,5,NO,YES
OUT,-0.490963212680072,3,NO,NO
FLY,-1.77796737477183,-2,NO,NO
FLY,1.13293885393068,19,YES,YES
OUT,0.0142589099705219,4,NO,YES
FLY,0.00288783828727901,6,NO,YES
UP,-0.50831103202654,1,NO,NO
FLY,-5.05544879357331,0,NO,NO
ACROSS,-0.583632754627615,1,NO,NO
FLY,-0.467863712925464,1,NO,NO
ACROSS,-0.467863712925464,1,NO,NO
ACROSS,0.620531573658809,8,NO,YES
IN,-2.53094579721801,-4,NO,NO
FLY,-0.00674936379073188,4,NO,NO
FLY,0.988604622369166,7,NO,YES
FLY,0.0732952575199306,2,NO,YES
FLY,0.884205557464156,1,NO,YES
FLY,0.794782996177673,12,NO,YES
FLY,0.794782996177673,12,NO,YES
QUICK,-0.161327403970063,5,NO,NO
QUICK,-0.161327403970063,5,NO,NO
QUICK,-0.161327403970063,5,NO,NO
QUICK,-0.161327403970063,5,NO,NO
QUICK,-0.161327403970063,5,NO,NO
ACROSS,-0.44387673039455,0,NO,NO
FLY,-0.70788388652727,2,NO,NO
OUT,0.45927123981528,7,NO,YES
OUT,2.59562244382687,5,NO,YES
FLY,2.59562244382687,5,NO,YES
ACROSS,-0.563246356323361,0,NO,NO
OUT,1.03775042854249,10,NO,YES
FLY,-0.54293538024649,0,NO,NO
FLY,-0.478107516886666,3,NO,NO
IN,-0.605867602862418,0,NO,NO
FLY,-0.708199125248939,3,NO,NO
FLY,-1.15100393514149,2,NO,NO
UP,1.56640536373015,6,NO,YES
FLY,0.0916325813159347,6,NO,YES
FLY,0.598704996518791,6,NO,YES
QUICK,0.598704996518791,6,NO,YES
QUICK,-0.332037253770977,3,NO,NO
QUICK,-0.332037253770977,3,NO,NO
IN,-0.00536313652992249,5,NO,NO
FLY,1.30280416784808,23,YES,YES
FLY,-0.167073126183823,3,NO,NO
OUT,1.90719137596898,22,YES,YES
QUICK,0.725582459766883,12,NO,YES
FLY,0.406808028928936,7,NO,YES
FLY,-0.24659592070384,2,NO,NO
QUICK,-0.875930515583605,0,NO,NO
FLY,-4.41353083704598,0,NO,NO
FLY,0.349560142029077,6,NO,YES
ACROSS,0.349560142029077,6,NO,YES
ACROSS,0.493025098461658,12,NO,YES
FLY,0.493025098461658,12,NO,YES
FLY,-1.58711387985386,0,NO,NO
QUICK,-0.381120001664385,0,NO,NO
ACROSS,-1.22716261004098,0,NO,NO
FLY,4.11049988894956,36,YES,YES
ACROSS,4.11049988894956,36,YES,YES
UP,-1.07162690255791,0,NO,NO
QUICK,-0.416976594482549,0,NO,NO
FLY,-0.198141098022461,5,NO,NO
UP,-1.50909023056738,0,NO,NO
FLY,-0.174213203135878,4,NO,NO
ACROSS,2.20154746272601,29,YES,YES
ACROSS,0.411259518121369,11,NO,YES
FLY,-0.597900775261223,0,NO,NO
FLY,-0.845758702140301,-1,NO,NO
FLY,0.822434363886714,9,NO,YES
FLY,-1.73544751293957,-9,NO,NO
ACROSS,1.224004765274,22,YES,YES
ACROSS,0.458370281325188,7,NO,YES
IN,0.516381631256081,10,NO,YES
FLY,-0.577090006147046,0,NO,NO
ACROSS,-0.900649631978013,0,NO,NO
ACROSS,-0.150487733306363,5,NO,NO
FLY,-1.312681110634,0,NO,NO
QUICK,0.929819165263325,16,YES,YES
QUICK,-0.748228968586773,3,NO,NO
QUICK,-0.35007542493986,-1,NO,NO
QUICK,-0.317973854020238,-2,NO,NO
FLY,-0.299265856097918,6,NO,NO
ACROSS,0.759134482592344,2,NO,YES
ACROSS,-0.454023628961295,2,NO,NO
ACROSS,1.13565312651917,9,NO,YES
QUICK,-0.0521426878403872,4,NO,NO
FLY,-1.33996959286742,-2,NO,NO
ACROSS,3.04638407903258,25,YES,YES
FLY,-1.04301142273471,-3,NO,NO
QUICK,0.730491325259209,11,NO,YES
QUICK,0.730491325259209,11,NO,YES
FLY,0.730491325259209,11,NO,YES
ACROSS,-1.54986535524949,-7,NO,NO
QUICK,-0.368529339553788,3,NO,NO
OUT,-0.851720928447321,1,NO,NO
FLY,2.38329193461686,16,YES,YES
QUICK,-0.641075086779892,0,NO,NO
FLY,-0.641075086779892,0,NO,NO
QUICK,-0.641075086779892,0,NO,NO
QUICK,-0.641075086779892,0,NO,NO
RETURN,2.61237042408902,22,YES,YES
FLY,-0.66905871371273,-1,NO,NO
IN,-1.09388689766638,0,NO,NO
FLY,-1.3796656174236,0,NO,NO
FLY,-0.415588118135929,3,NO,NO
FLY,-1.22232112614438,1,NO,NO
RETURN,2.13075730437413,19,YES,YES
RETURN,-0.461586300574709,3,NO,NO
ACROSS,-0.461586300574709,3,NO,NO
FLY,-0.284166874655057,0,NO,NO
UP,-0.284166874655057,0,NO,NO
RETURN,0.0178403579629958,5,NO,YES
IN,-0.487396956130397,0,NO,NO
IN,0.805229652905837,8,NO,YES
FLY,0.751675254432485,12,NO,YES
OUT,-0.810306401341222,-3,NO,NO
QUICK,-0.59729120566044,1,NO,NO
FLY,2.60794412426185,41,YES,YES
QUICK,0.323976041516289,5,NO,YES
OUT,-0.572426286526024,0,NO,NO
FLY,0.768696972401813,9,NO,YES
FLY,-0.917703103041276,0,NO,NO
FLY,0.0272461081622168,5,NO,YES
OUT,0.443970154505223,10,NO,YES
OUT,0.527623989852145,7,NO,YES
IN,1.29576494824141,18,YES,YES
QUICK,1.29576494824141,18,YES,YES
QUICK,0.253496516728774,6,NO,YES
OUT,-0.772430451121181,0,NO,NO
OUT,-1.30080825858749,0,NO,NO
RETURN,2.83928986766841,9,NO,YES
FLY,-1.47780190221965,-10,NO,NO
FLY,-0.543301036115736,3,NO,NO
OUT,0.671400134917349,10,NO,YES
OUT,1.34086619620211,23,YES,YES
FLY,-3.23733500367962,0,NO,NO
FLY,-0.962279347702861,-1,NO,NO
ACROSS,-0.713647263124585,0,NO,NO
OUT,0.61136705998797,8,NO,YES
QUICK,-0.395377352950163,3,NO,NO
FLY,0.582478845142759,6,NO,YES
QUICK,0.762288260040805,4,NO,YES
FLY,-0.788959372031968,-1,NO,NO
FLY,1.13155129156075,5,NO,YES
ACROSS,-0.317605769785587,0,NO,NO
FLY,0.26004354795441,7,NO,YES
QUICK,-0.643749114358798,0,NO,NO
QUICK,-0.643749114358798,0,NO,NO
OUT,-0.643749114358798,0,NO,NO
QUICK,-1.48097250482533,-5,NO,NO
FLY,-3.14690961444285,-7,NO,NO
FLY,0.636299546808004,9,NO,YES
FLY,0.586548859952018,7,NO,YES
OUT,1.409853015095,18,YES,YES
FLY,1.10890270012897,10,NO,YES
QUICK,-0.167754159891047,3,NO,NO
ACROSS,-0.590976434061304,0,NO,NO
RETURN,1.98480822716374,18,YES,YES
QUICK,1.98480822716374,18,YES,YES
FLY,-0.609611702850088,0,NO,NO
FLY,2.20979045971762,9,NO,YES
FLY,-0.387099791318178,3,NO,NO
ACROSS,1.52874139952473,25,YES,YES
FLY,0.324702386395074,7,NO,YES
IN,1.01833292550873,11,NO,YES
UP,0.832245447440073,3,NO,YES
FLY,1.30897478712723,11,NO,YES
ACROSS,-0.465324563905597,0,NO,NO
FLY,-0.0928265530383214,4,NO,NO
OUT,1.79341183003271,21,YES,YES
ACROSS,0.787167281087022,2,NO,YES
ACROSS,-0.494083012687042,1,NO,NO
OUT,1.45061454968527,17,YES,YES
FLY,-0.399724878603593,0,NO,NO
FLY,-0.140050552436151,8,NO,NO
FLY,2.39130499237217,23,YES,YES
OUT,0.322511498758104,7,NO,YES
FLY,0.483164265926462,7,NO,YES
OUT,0.311350172560196,6,NO,YES
IN,-0.916865491017234,0,NO,NO
IN,4.0890460149385,4,NO,YES
FLY,-0.47318737138994,3,NO,NO
FLY,-0.342025220626965,3,NO,NO
IN,-1.36911473446526,0,NO,NO
FLY,-1.36911473446526,0,NO,NO
FLY,-0.205625026952475,5,NO,NO
FLY,0.535595204797573,5,NO,YES
IN,-0.486275333096273,1,NO,NO
FLY,0.120064570801333,6,NO,YES
FLY,-1.43109549430665,0,NO,NO
ACROSS,-0.813772201479878,-5,NO,NO
FLY,0.0220628129318357,5,NO,YES
FLY,-0.422073770139832,0,NO,NO
UP,-2.8378816380864,0,NO,NO
QUICK,0.28156849561492,12,NO,YES
FLY,0.771341097890399,18,YES,YES
FLY,-0.0839285412221216,0,NO,NO
IN,-0.581514677032828,1,NO,NO
OUT,1.36963194003329,10,NO,YES
FLY,-0.130668713245541,5,NO,NO
FLY,-0.582387272734195,0,NO,NO
FLY,0.449048473616131,1,NO,YES
ACROSS,0.449048473616131,1,NO,YES
FLY,-0.553209620062262,0,NO,NO
IN,0.0625648957211524,4,NO,YES
FLY,2.96505961229559,26,YES,YES
FLY,1.24978696240578,18,YES,YES
QUICK,0.366385922534391,7,NO,YES
FLY,0.67233232955914,2,NO,YES
ACROSS,-0.141136220423505,4,NO,NO
OUT,2.59773786953883,14,NO,YES
OUT,-0.972097248537466,0,NO,NO
FLY,0.779583493829705,11,NO,YES
ACROSS,-0.352123412303627,3,NO,NO
FLY,1.18615506129572,19,YES,YES
ACROSS,-0.999512204783969,-1,NO,NO
FLY,2.77172667853301,18,YES,YES
IN,1.14490145700984,22,YES,YES
ACROSS,1.14490145700984,22,YES,YES
QUICK,-0.374467669520527,0,NO,NO
OUT,-0.374467669520527,0,NO,NO
FLY,1.52693036780693,22,YES,YES
FLY,-0.375586238922551,2,NO,NO
FLY,-0.959563195239753,-4,NO,NO
FLY,-1.39818196045235,-2,NO,NO
FLY,1.0574228989426,15,YES,YES
FLY,1.21098453272134,22,YES,YES
IN,-0.79914193530567,0,NO,NO
QUICK,-0.580762801226228,0,NO,NO
UP,-0.461443223524839,5,NO,NO
FLY,1.41791520291008,23,YES,YES
FLY,-0.322553450067062,1,NO,NO
FLY,1.1872527441592,3,NO,YES
FLY,-0.53323410730809,2,NO,NO
FLY,1.80813780985773,7,NO,YES
FLY,-1.51275749597698,-10,NO,NO
RETURN,-0.84968042280525,5,NO,NO
QUICK,-0.84968042280525,5,NO,NO
ACROSS,-1.54511998686939,-9,NO,NO
FLY,-0.553197086788714,0,NO,NO
OUT,1.80462183943018,12,NO,YES
FLY,1.80462183943018,12,NO,YES
QUICK,-0.529979359707795,1,NO,NO
QUICK,-0.763103537610732,1,NO,NO
FLY,-0.653673711116426,0,NO,NO
OUT,-0.60422470420599,0,NO,NO
ACROSS,-0.109774554613978,4,NO,NO
UP,-0.109774554613978,4,NO,NO
FLY,2.31190572131891,7,NO,YES
FLY,-0.505015444941819,0,NO,NO
IN,-0.48547286214307,5,NO,NO
FLY,-1.3987991255708,0,NO,NO
FLY,-0.91838218877092,-1,NO,NO
FLY,-0.471783351153135,0,NO,NO
OUT,0.174433887121268,6,NO,YES
FLY,0.991299809829798,12,NO,YES
FLY,1.22684745094739,23,YES,YES
FLY,-1.02630740823224,0,NO,NO
FLY,-1.69291056977818,0,NO,NO
FLY,-0.309650854207575,1,NO,NO
FLY,0.348688695346937,8,NO,YES
FLY,-0.190231120679528,1,NO,NO
FLY,-4.14736157824518,5,NO,NO
UP,-0.689924731617793,0,NO,NO
FLY,-0.698040191084146,0,NO,NO
ACROSS,0.458559086080641,8,NO,YES
FLY,0.458559086080641,8,NO,YES
ACROSS,3.25252710911445,49,YES,YES
QUICK,-0.346382144663949,0,NO,NO
FLY,-0.558422819711268,1,NO,NO
IN,-0.558422819711268,1,NO,NO
FLY,0.415771848522127,3,NO,YES
OUT,-1.92126464727335,0,NO,NO
FLY,-1.92126464727335,0,NO,NO
ACROSS,-0.646692587994039,1,NO,NO
ACROSS,1.48436182597652,11,NO,YES
IN,-0.543231290765107,0,NO,NO
FLY,-0.885964120738208,1,NO,NO
FLY,2.13230634434149,10,NO,YES
ACROSS,1.39490892400499,21,YES,YES
FLY,0.00654125469736755,7,NO,YES
IN,-1.259573761723,0,NO,NO
FLY,0.174367639701813,4,NO,YES
QUICK,-0.377679855329916,2,NO,NO
FLY,-0.546852244762704,2,NO,NO
FLY,-1.67805000883527,-12,NO,NO
FLY,-1.28277840645751,0,NO,NO
FLY,-6.05744612164563,0,NO,NO
OUT,2.95784246129915,27,YES,YES
FLY,-0.392013234086335,3,NO,NO
FLY,-2.60267040261533,-6,NO,NO
QUICK,0.624006658559665,7,NO,YES
QUICK,0.624006658559665,7,NO,YES
QUICK,1.7816164388787,14,NO,YES
FLY,1.7816164388787,14,NO,YES
UP,0.734145754249766,11,NO,YES
FLY,0.774976221029647,7,NO,YES
FLY,0.174095161899459,6,NO,YES
FLY,-0.288723941659555,0,NO,NO
FLY,-0.375254527665675,0,NO,NO
IN,-1.05255879065953,0,NO,NO
RETURN,-0.0346319392556325,5,NO,NO
IN,-0.409309147507884,2,NO,NO
FLY,1.40290982625447,19,YES,YES
FLY,-0.564845518907532,5,NO,NO
OUT,0.0471753375604749,4,NO,YES
FLY,-0.165470863692462,4,NO,NO
UP,1.11621603532694,4,NO,YES
FLY,1.11621603532694,4,NO,YES
OUT,-0.525594186270609,0,NO,NO
QUICK,-1.27589423721656,-2,NO,NO
ACROSS,-0.1999661331065,3,NO,NO
FLY,-0.664749931544065,1,NO,NO
ACROSS,-0.926455309148878,0,NO,NO
FLY,-0.926455309148878,0,NO,NO
FLY,-1.6798794940114,0,NO,NO
UP,-0.554667548043653,0,NO,NO
FLY,-0.554667548043653,0,NO,NO
IN,-1.53524253889918,0,NO,NO
ACROSS,1.58457075827755,24,YES,YES
QUICK,-0.910818418720737,-9,NO,NO
OUT,-6.76165490481071,0,NO,NO
FLY,0.335369364591315,8,NO,YES
FLY,-0.545118583831936,0,NO,NO
QUICK,-0.839492755942047,0,NO,NO
FLY,-0.21201682696119,9,NO,NO
ACROSS,0.608684680424631,11,NO,YES
UP,-0.470172892091796,2,NO,NO
FLY,-0.470172892091796,2,NO,NO
FLY,-0.448850064538419,3,NO,NO
ACROSS,1.102056458476,15,YES,YES
FLY,1.102056458476,15,YES,YES
UP,-0.178058815887198,4,NO,NO
QUICK,-0.178058815887198,4,NO,NO
FLY,0.93150712212082,8,NO,YES
FLY,-0.435930320061743,0,NO,NO
OUT,-0.0545561712933704,6,NO,NO
FLY,-0.0545561712933704,6,NO,NO
IN,-1.21012189373141,0,NO,NO
FLY,-1.21012189373141,0,NO,NO
IN,0.174452851293609,5,NO,YES
FLY,1.01810163189657,11,NO,YES
FLY,-0.423266704659909,0,NO,NO
FLY,-1.68107975937892,-2,NO,NO
FLY,0.946388893062249,14,NO,YES
FLY,0.584529606858268,6,NO,YES
FLY,-1.45446827053092,-6,NO,NO
FLY,-0.340388676035218,0,NO,NO
IN,-0.318550519295968,5,NO,NO
IN,3.89605635224143,25,YES,YES
FLY,-0.0363791610579938,5,NO,NO
FLY,1.43313435738673,22,YES,YES
IN,1.43313435738673,22,YES,YES
FLY,-0.206608497537673,3,NO,NO
ACROSS,-0.464127018814906,5,NO,NO
FLY,-0.464127018814906,5,NO,NO
IN,-0.117812266980764,0,NO,NO
FLY,-0.18239365844056,1,NO,NO
FLY,-1.50782731827348,-5,NO,NO
IN,-1.05473472783342,0,NO,NO
OUT,-1.05473472783342,0,NO,NO
IN,1.03223332681227,15,YES,YES
QUICK,0.23048666852992,6,NO,YES
FLY,-0.88653203996364,-1,NO,NO
ACROSS,3.15966725407634,17,YES,YES
RETURN,-0.572719522286206,1,NO,NO
FLY,-0.84699618909508,0,NO,NO
FLY,0.12138826563023,6,NO,YES
IN,0.12138826563023,6,NO,YES
FLY,-1.73425629339181,0,NO,NO
FLY,-0.61501606926322,0,NO,NO
UP,-0.61501606926322,0,NO,NO
OUT,1.57286551874131,15,YES,YES
QUICK,0.881659989012405,10,NO,YES
FLY,4.40101061249152,55,YES,YES
FLY,0.451620114268735,8,NO,YES
QUICK,-0.454123203642666,0,NO,NO
FLY,0.899137073196471,15,YES,YES
ACROSS,2.25432146107778,17,YES,YES
ACROSS,-0.00735728722065687,4,NO,NO
RETURN,-0.879629044095054,0,NO,NO
IN,-1.38623978476971,0,NO,NO
FLY,1.02051709464286,17,YES,YES
FLY,0.783993758726865,9,NO,YES
FLY,-0.996072923939209,3,NO,NO
IN,2.36315990344156,4,NO,YES
FLY,2.36315990344156,4,NO,YES
ACROSS,-0.513718924077693,4,NO,NO
RETURN,-1.23388678173069,0,NO,NO
FLY,-3.01916578604141,0,NO,NO
FLY,0.428020493127406,7,NO,YES
ACROSS,-0.347864225797821,0,NO,NO
OUT,-0.315409516828367,0,NO,NO
IN,0.636299546808004,9,NO,YES
OUT,0.817962740082294,12,NO,YES
IN,0.719255218515173,8,NO,YES
OUT,0.0609795585041866,2,NO,YES
IN,0.652429479872808,11,NO,YES
IN,-6.14106720511336,0,NO,NO
FLY,0.357811970636249,8,NO,YES
ACROSS,1.15409626043402,5,NO,YES
FLY,-0.306942591909319,2,NO,NO
UP,-0.306942591909319,2,NO,NO
FLY,0.682779910974205,7,NO,YES
FLY,1.30524360784329,23,YES,YES
FLY,0.167824703617953,5,NO,YES
FLY,-0.944763825507835,-1,NO,NO
UP,-1.80832280020695,-7,NO,NO
IN,0.229435249697417,7,NO,YES
IN,0.976988709298894,12,NO,YES
FLY,-0.0227244200650603,7,NO,NO
QUICK,3.06470200570766,17,YES,YES
RETURN,3.06470200570766,17,YES,YES
FLY,-1.69409252877813,-7,NO,NO
IN,-1.27400840446353,-2,NO,NO
FLY,0.220529912505299,5,NO,YES
FLY,0.586264943704009,2,NO,YES
IN,-0.392251238692552,3,NO,NO
FLY,-0.392251238692552,3,NO,NO
FLY,-0.87235711235553,0,NO,NO
IN,0.899690255289897,14,NO,YES
FLY,0.899690255289897,14,NO,YES
ACROSS,0.206103881006129,6,NO,YES
ACROSS,-2.03239417995792,-7,NO,NO
OUT,-0.436290359590203,0,NO,NO
FLY,-7.03126591397449,-15,NO,NO
FLY,-0.373114992398769,1,NO,NO
FLY,-0.269281746586785,3,NO,NO
FLY,1.23907666362356,8,NO,YES
FLY,1.47731337358709,26,YES,YES
FLY,-0.345582169189584,0,NO,NO
FLY,-1.29994790354976,-9,NO,NO
ACROSS,6.67826791177504,42,YES,YES
FLY,6.67826791177504,42,YES,YES
FLY,0.253037487156689,7,NO,YES
ACROSS,0.253037487156689,7,NO,YES
FLY,-0.0969107816927135,2,NO,NO
FLY,-2.29515971196815,-1,NO,NO
IN,0.707870291545987,12,NO,YES
OUT,-0.55711869802326,0,NO,NO
QUICK,-0.55711869802326,0,NO,NO
FLY,-0.232924503274262,5,NO,NO
IN,2.08480092021637,12,NO,YES
IN,2.08480092021637,12,NO,YES
OUT,0.420505716698244,7,NO,YES
OUT,-0.747744082706049,0,NO,NO
RETURN,-0.747744082706049,0,NO,NO
FLY,-0.478994453325868,2,NO,NO
IN,-0.334219566662796,0,NO,NO
IN,1.27632611256558,15,YES,YES
FLY,0.642869914649054,8,NO,YES
FLY,0.0631220550276339,3,NO,YES
OUT,0.995695825782605,16,YES,YES
OUT,-0.631180737982504,1,NO,NO
FLY,-0.631180737982504,1,NO,NO
FLY,-1.42740612768102,0,NO,NO
IN,0.694065044168383,7,NO,YES
FLY,0.694065044168383,7,NO,YES
IN,-0.0200326484628022,4,NO,NO
IN,-0.0200326484628022,4,NO,NO
IN,-1.00477131130174,0,NO,NO
RETURN,-1.62964287120849,0,NO,NO
FLY,-0.528377314563841,0,NO,NO
FLY,0.0360984867438674,8,NO,YES
FLY,-1.30068035190925,1,NO,NO
OUT,-0.396825940581039,0,NO,NO
IN,-0.0948715989943594,7,NO,NO
FLY,-2.14800296328031,0,NO,NO
FLY,0.281823647557758,7,NO,YES
FLY,-0.885798223433085,0,NO,NO
FLY,-0.897329725907184,-1,NO,NO
FLY,-3.47381766303442,-12,NO,NO
OUT,0.79233698756434,11,NO,YES
FLY,-4.28173624037299,6,NO,NO
FLY,0.60949544259347,12,NO,YES
FLY,-0.506080576684326,1,NO,NO
FLY,-0.715504791354761,0,NO,NO
